City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
479,Bahia De Caraquez,EC,75.38,light rain,-0.6,-80.4167,Saiananda Eco-Hotel
482,Anloga,GH,78.94,overcast clouds,5.7947,0.8973,Pin Drop Hotel
495,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
496,Kandri,IN,89.17,clear sky,21.4167,79.2667,OYO 69410 Sip & Bite Restaurant N Lodging
499,Juxtlahuaca,MX,75.52,overcast clouds,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
504,Axim,GH,75.52,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
508,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
514,Kovur,IN,87.6,scattered clouds,14.4833,79.9833,Hotel Yesh Park
526,Nicoya,CR,78.62,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
540,Kapit,MY,87.87,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
542,Kununurra,AU,85.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
544,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
545,Zhangjiakou,CN,77.76,few clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
547,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
557,Port-Gentil,GA,77.49,broken clouds,-0.7193,8.7815,Fengshui Residence
563,Banjar,ID,86.18,overcast clouds,-8.19,114.9675,The Hamsa Resort
565,Shingu,JP,76.73,overcast clouds,33.7333,135.9833,Shingu UI Hotel
567,Bumiayu,ID,85.24,scattered clouds,-8.0151,112.6347,Hotel Tugu Malang
569,Manaus,BR,81.09,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
570,Cairns,AU,83.1,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
571,Biak,ID,82.02,scattered clouds,-0.9131,122.8766,Penginapan Kim
573,Tabou,CI,75.52,light rain,4.423,-7.3528,hotêl doufoulougou
574,Marawi,PH,80.49,overcast clouds,7.9986,124.2928,Derogongan Residence
579,Wiang Sa,TH,83.86,overcast clouds,8.6359,99.3666,ชำนาญอินน์
580,Sibu,MY,84.51,few clouds,2.3,111.8167,RH HOTEL (4 Star)
587,Champoton,MX,76.57,overcast clouds,19.35,-90.7167,HOTEL Posada La Regia
588,Cockburn Town,TC,79.54,clear sky,21.4612,-71.1419,Osprey Beach Hotel
590,Santa Rosalia,MX,75.43,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
