City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Paamiut,GL,61.994,-49.6678,32.9,99,100,21.05,snow
186,Fort Nelson,CA,58.8053,-122.7002,53.28,59,100,7.67,overcast clouds
187,Tumaco,CO,1.7986,-78.8156,76.55,91,100,4.61,moderate rain
188,Aklavik,CA,68.2191,-135.0107,36.34,57,99,10.94,overcast clouds
189,Svetlogorsk,BY,52.6333,29.7333,41.11,89,99,5.99,overcast clouds
190,Karratha,AU,-20.7377,116.8463,73.89,74,100,6.13,overcast clouds
191,Coquimbo,CL,-29.9533,-71.3436,55.13,94,0,5.75,clear sky
192,Naze,JP,28.3667,129.4833,76.12,67,100,3.53,light rain
193,Havoysund,NO,70.9963,24.6622,44.83,83,18,3.56,few clouds
194,Rio Gallegos,AR,-51.6226,-69.2181,32.05,80,40,6.91,scattered clouds
195,Alto Araguaia,BR,-17.3147,-53.2153,57.29,49,56,2.21,broken clouds
196,Lebyazhye,RU,55.2689,66.4947,46.62,72,56,14.94,broken clouds
197,Bundaberg,AU,-24.85,152.35,73.22,76,84,5.01,light rain
198,Tikhvin,RU,59.6451,33.5294,25.21,71,0,4.56,clear sky
199,Mount Gambier,AU,-37.8333,140.7667,62.42,49,0,5.12,clear sky
200,Bafq,IR,31.6128,55.4107,69.42,16,0,4.72,clear sky
201,Tarata,BO,-17.6167,-66.0167,49.08,43,0,3.98,clear sky
202,Chapais,CA,49.7834,-74.8492,33.58,95,61,4.74,broken clouds
203,Parana,AR,-31.732,-60.5238,60.46,76,27,8.25,scattered clouds
204,Torbay,CA,47.6666,-52.7314,54.37,60,100,17.27,overcast clouds
205,Cabo San Lucas,MX,22.8909,-109.9124,77.31,58,0,4.61,clear sky
206,Ambulu,ID,-8.345,113.6058,82.62,65,11,1.86,few clouds
207,Glencoe,ZA,-28.1783,30.147,48.52,96,97,4.0,light rain
208,Monrovia,LR,6.3005,-10.7969,75.07,95,100,7.56,heavy intensity rain
209,Sumy,UA,50.9216,34.8003,39.92,92,44,5.99,scattered clouds
210,Rabaul,PG,-4.1967,152.1721,83.71,61,41,2.91,scattered clouds
211,Saint-Augustin,CA,51.226,-58.6502,44.17,95,100,7.23,overcast clouds
212,Cotonou,BJ,6.3654,2.4183,78.78,89,40,2.3,scattered clouds
213,Flinders,AU,-34.5833,150.8552,65.17,84,97,5.99,light rain
214,Merke,KZ,42.8728,73.1786,53.02,76,100,7.85,moderate rain
215,Shevchenkove,UA,49.6959,37.1735,42.26,96,21,7.85,few clouds
216,Timaru,NZ,-44.4,171.25,54.07,55,0,4.0,clear sky
217,Lichinga,MZ,-13.3128,35.2406,56.05,80,43,2.8,scattered clouds
218,Mitha Tiwana,PK,32.2486,72.1108,87.85,21,89,14.74,overcast clouds
219,Vao,NC,-22.6667,167.4833,75.52,83,2,12.46,clear sky
220,College,US,64.8569,-147.8028,66.58,26,20,13.8,few clouds
