City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Huanuni,BO,2022-05-12 01:39:01,-18.2667,-66.85,35.94,68,0,4.79
190,Pevek,RU,2022-05-12 01:39:02,69.7008,170.3133,28.2,90,100,14.03
191,Phalodi,IN,2022-05-12 01:39:03,27.1333,72.3667,92.75,28,1,12.53
192,Kumluca,TR,2022-05-12 01:39:04,36.3703,30.2869,63.5,58,0,4.94
193,Yatou,CN,2022-05-12 01:39:04,37.15,122.3833,64.45,39,3,12.95
194,Takoradi,GH,2022-05-12 01:39:05,4.8845,-1.7554,79.68,84,100,5.48
195,Tanout,NE,2022-05-12 01:39:06,14.9709,8.8879,84.94,32,83,10.04
196,Tiksi,RU,2022-05-12 01:39:07,71.6872,128.8694,24.62,81,100,13.27
197,Ciudad Bolivar,VE,2022-05-12 01:34:21,8.1222,-63.5497,85.46,53,29,11.45
198,Lebu,CL,2022-05-12 01:39:08,-37.6167,-73.65,53.62,73,100,8.68
199,Aklavik,CA,2022-05-12 01:39:08,68.2191,-135.0107,43.75,61,35,3.18
200,Aykhal,RU,2022-05-12 01:39:10,66.0,111.5,35.08,100,100,17.47
201,Ellensburg,US,2022-05-12 01:39:10,46.9965,-120.5479,62.73,44,100,14.97
202,Iqaluit,CA,2022-05-12 01:39:11,63.7506,-68.5145,24.53,80,75,13.8
203,Vanimo,PG,2022-05-12 01:39:12,-2.6741,141.3028,85.28,70,100,5.26
204,Silver City,US,2022-05-12 01:39:13,32.7701,-108.2803,80.56,10,0,12.66
205,Pisco,PE,2022-05-12 01:39:13,-13.7,-76.2167,63.01,94,0,4.61
206,Havelock,US,2022-05-12 01:39:14,34.8791,-76.9013,62.56,79,100,17.27
207,Zhigansk,RU,2022-05-12 01:39:15,66.7697,123.3711,34.47,100,100,6.55
208,Hervey Bay,AU,2022-05-12 01:39:16,-25.2986,152.8535,78.03,79,100,5.99
209,Renfrew,GB,2022-05-12 01:39:16,55.872,-4.3925,50.04,84,40,9.22
210,Oskemen,KZ,2022-05-12 01:39:17,49.9565,82.6119,49.96,57,75,4.47
211,Vaitape,PF,2022-05-12 01:39:18,-16.5167,-151.75,81.5,76,41,16.22
212,Kitami,JP,2022-05-12 01:39:19,43.8031,143.8908,76.46,43,51,1.92
213,Nizhniy Kuranakh,RU,2022-05-12 01:39:19,58.8353,125.4869,35.26,86,100,8.7
214,Port-Gentil,GA,2022-05-12 01:39:20,-0.7193,8.7815,80.17,83,100,8.66
215,Ponta Do Sol,PT,2022-05-12 01:39:21,32.6667,-17.1,69.01,82,30,5.14
216,Maracacume,BR,2022-05-12 01:39:22,-2.0428,-45.9592,73.74,98,95,2.91
217,Barrow,US,2022-05-12 01:35:02,71.2906,-156.7887,30.22,80,100,14.97
218,Necochea,AR,2022-05-12 01:39:23,-38.5473,-58.7368,49.03,72,100,5.82
219,Viransehir,TR,2022-05-12 01:39:24,37.2353,39.7631,56.16,57,0,2.64
220,Lagos,NG,2022-05-12 01:38:09,6.5833,3.75,78.75,89,63,2.86
221,Yellowknife,CA,2022-05-12 01:39:01,62.456,-114.3525,41.56,56,75,8.05
222,Puerto Quijarro,BO,2022-05-12 01:39:25,-17.7833,-57.7667,73.92,70,100,4.0
223,Paamiut,GL,2022-05-12 01:39:26,61.994,-49.6678,37.42,82,100,30.67
224,Lavrentiya,RU,2022-05-12 01:39:27,65.5833,-171.0,34.45,98,99,6.44
